ID,1.1,1.2,1.3,1.4,1.5,1.6,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.1,2.11,2.12,2.13,2.14,2.15,2.16,2.17,2.18,2.19,2.2,2.21,2.22
2,1,3,5,0,4,3,1,2,1,4,3,3,2,1,2,1,1,0,0,0,0,0,1,5,0,0,3,6
5,1,2,5,3,2,1,1,2,2,6,6,1,6,1,5,4,4,0,0,0,0,0,1,3,0,9,1,1
7,2,2,2,0,6,1,1,2,1,3,3,4,2,2,2,2,2,1,0,1,0,1,0,5,0,5,4,4
8,2,3,1,0,6,1,1,2,3,3,4,4,3,1,2,1,1,0,0,0,0,0,1,5,0,0,2,6
9,1,3,4,1,6,3,1,2,1,4,5,2,7,1,4,4,4,0,0,0,1,0,0,0,10,4,5,6
10,2,2,2,0,6,2,1,2,1,3,3,4,2,1,2,2,2,1,0,1,0,0,0,8,0,0,2,3
11,2,1,5,0,2,1,1,2,1,3,3,4,2,2,4,1,1,0,0,0,0,0,1,5,0,0,1,1
12,1,2,5,1,6,2,1,2,1,3,3,2,2,1,3,1,3,1,1,0,0,0,0,4,7,3,5,3
15,1,1,2,0,2,1,1,2,1,6,5,6,1,1,2,2,3,1,0,0,0,0,0,3,0,0,6,1
17,2,2,3,0,6,1,1,2,3,4,1,4,2,1,2,3,3,1,0,1,0,0,0,3,0,4,1,5
18,1,2,3,0,3,3,1,2,2,4,4,3,2,3,4,2,2,0,0,0,0,0,1,5,1,4,2,1
20,2,3,2,0,6,2,1,2,2,2,2,4,2,2,2,1,1,1,0,0,0,0,0,4,0,0,1,6
21,2,3,2,1,6,1,1,2,2,2,1,4,2,2,2,1,1,1,1,1,1,0,0,5,10,5,2,4
22,2,2,3,0,6,1,1,2,1,2,3,3,6,1,5,3,2,0,1,1,1,1,0,2,0,9,4,3
23,1,3,5,1,4,2,1,2,1,4,5,3,7,1,5,1,1,0,0,0,0,0,0,0,9,0,1,1
24,1,3,3,0,4,3,1,2,1,6,5,6,2,1,4,1,1,0,0,0,0,0,1,4,1,9,2,6
25,2,3,3,0,4,3,1,2,2,1,5,5,2,2,3,1,1,0,0,0,0,0,1,6,0,0,1,3
26,1,2,1,0,2,3,1,3,1,1,5,4,3,1,1,1,3,1,0,0,0,0,0,1,0,0,1,6
28,1,3,3,0,3,1,1,2,1,3,2,4,1,1,1,2,2,1,1,0,0,0,0,5,0,4,2,3
31,2,5,1,0,6,1,1,2,1,3,2,4,2,1,2,1,1,0,0,0,1,0,0,4,0,0,5,6
32,2,1,2,0,6,3,1,2,1,3,3,4,2,2,2,1,1,0,0,0,0,0,1,5,0,0,1,6
33,1,2,3,0,6,1,1,2,1,3,5,2,4,2,3,4,4,0,0,1,0,0,0,2,1,2,6,6
35,1,4,4,1,6,1,1,2,1,3,2,2,7,2,3,2,2,0,0,0,0,0,1,1,9,2,6,1
36,2,3,3,1,6,1,1,2,1,3,2,4,3,1,2,2,2,1,1,1,0,0,0,2,10,0,4,3
37,2,4,3,1,6,2,1,2,1,2,2,3,7,1,5,2,2,1,1,1,0,0,0,1,10,0,2,1
38,1,3,5,0,6,2,1,2,1,4,2,3,3,1,2,2,3,0,0,0,0,0,1,2,0,3,3,6
39,1,3,3,1,6,1,1,2,2,2,1,2,7,1,5,2,1,0,0,0,0,0,1,0,11,1,3,3
40,1,4,3,1,6,2,1,2,2,2,1,2,7,2,5,3,3,1,0,0,0,0,0,2,10,0,1,1
41,1,3,3,1,2,1,1,2,2,3,2,3,2,1,3,1,1,0,1,1,0,0,1,3,0,3,1,1
42,2,3,3,0,6,1,1,2,1,4,2,4,5,1,7,3,3,0,1,0,1,1,0,3,0,10,1,1
43,1,2,3,0,4,3,1,2,1,4,5,5,2,4,3,1,1,0,1,0,0,0,0,8,0,0,2,4
44,1,4,4,1,6,1,1,2,1,2,2,3,7,1,4,2,2,1,0,0,0,0,1,1,11,2,2,4
45,2,2,2,0,3,1,1,2,1,4,2,6,2,4,3,2,2,1,1,1,1,0,0,9,0,9,1,1
46,2,1,1,0,3,2,1,2,1,4,3,5,2,4,3,1,2,0,1,0,0,0,0,4,1,1,1,3
